ecg,gsr,temp,hr,spo2,timest
1.7693,0.2493,39.9300,74,96,86433
1.7693,0.2444,39.9300,74,96,86436
1.7840,0.2493,39.9600,74,96,86439
1.7742,0.2297,40.0000,74,96,86444
1.8182,0.2542,39.7300,74,96,86447
1.8035,0.2395,39.9300,74,96,86450
1.7742,0.2444,39.9300,74,96,86453
1.7840,0.2493,39.9300,74,96,86457
1.7742,0.2444,39.9600,74,96,86460
1.8231,0.2493,39.8000,74,96,86463
1.7889,0.2542,39.8900,74,96,86466
1.7693,0.2542,40.0300,74,96,86470
1.7791,0.2493,39.9300,74,96,86473
1.7693,0.2444,39.9600,74,96,86476
1.8133,0.2542,39.7300,74,96,86479
1.7742,0.2444,39.8900,74,96,86483
1.7840,0.2395,40.0000,74,96,86487
1.7937,0.2493,39.9300,74,96,86490
1.7791,0.2444,40.0300,74,96,86493
1.8328,0.2542,39.7700,74,96,86497
1.7889,0.2444,39.9600,74,96,86500
1.7937,0.2688,39.9600,74,96,86503
1.8182,0.2493,39.3200,74,96,86506
1.8084,0.2444,39.9300,74,96,86510
1.8671,0.2542,39.7300,74,96,86513
1.8671,0.2493,39.9300,74,96,86516
1.8328,0.2444,40.0000,74,96,86519
1.8573,0.2444,39.9600,74,96,86523
1.8622,0.2444,40.0600,74,96,86526
1.9208,0.2542,39.7300,74,96,86530
1.8817,0.2444,39.9300,74,96,86533
1.8964,0.2493,40.0300,74,96,86537
1.9306,0.2493,39.8900,74,96,86540
1.9306,0.2444,40.0000,74,96,86543
2.0283,0.2542,39.8300,74,96,86546
1.9404,0.2542,39.9300,74,96,86550
1.9257,0.2444,40.0000,74,96,86553
1.9159,0.2493,39.9300,74,96,86556
1.8768,0.2444,40.0000,74,96,86559
1.8964,0.2542,39.7700,74,96,86563
1.8524,0.2493,39.8600,74,96,86566
1.8231,0.2444,39.9600,74,96,86569
1.8182,0.2493,39.9300,74,96,86573
1.8280,0.2444,39.9600,74,96,86577
1.8426,0.2737,39.7700,74,96,86580
1.7986,0.2346,39.9300,74,96,86583
1.7937,0.2444,40.0300,74,96,86586
1.7889,0.2493,39.9300,74,96,86590
1.7595,0.2346,39.9600,74,96,86593
1.7889,0.2981,39.7000,74,96,86596
1.7302,0.2444,40.1300,74,96,86599
1.7253,0.2444,39.9600,74,96,86603
1.7351,0.2493,39.9600,74,96,86606
1.7204,0.2444,40.0000,74,96,86609
1.7644,0.2542,39.7300,74,96,86612
1.7400,0.2493,39.8000,74,96,86617
1.7400,0.2444,40.0000,74,96,86620
1.7644,0.2542,39.9300,74,96,86623
1.7302,0.2444,40.0300,74,96,86626
1.7742,0.2542,39.7700,74,96,86630
1.7351,0.2444,39.9300,74,96,86633
1.7302,0.2444,40.0000,74,96,86636
1.7546,0.2542,39.9300,74,96,86639
1.7400,0.2444,39.9600,74,96,86643
1.7889,0.2493,39.7700,74,96,86646
1.7498,0.2444,39.9300,74,96,86649
1.7449,0.2590,40.0300,74,96,86652
1.7644,0.2493,39.9300,74,96,86657
1.7498,0.2395,40.0000,74,96,86660
1.7937,0.2493,39.7700,74,96,86663
1.7155,0.2542,39.8900,74,96,86666
1.6618,0.2444,40.0600,74,96,86670
1.6471,0.2493,39.3200,74,96,86673
1.6422,0.2444,40.0000,74,96,86676
1.7302,0.2590,39.7700,74,96,86679
1.8231,0.2639,39.9300,74,96,86683
2.0137,0.2444,39.9600,74,96,86686
2.3216,0.2542,39.9300,74,96,86689
2.6393,0.2444,39.9600,74,96,86692
3.0890,0.2542,39.8000,74,96,86696
3.3871,0.2395,39.9600,74,96,86700
3.6510,0.2444,39.9600,74,96,86703
3.6266,0.2884,39.9300,74,96,86706
3.3333,0.2444,39.9600,74,96,86710
2.9814,0.2542,39.8000,74,96,86713
2.4927,0.2493,39.8900,74,96,86716
2.0626,0.2444,39.9600,74,96,86719
1.7302,0.2737,39.9300,74,96,86723
1.4418,0.2297,39.9600,74,96,86726
1.3343,0.2493,39.7700,74,96,86729
1.1975,0.2395,39.9300,74,96,86732
1.1437,0.2737,40.0000,74,96,86736
1.1535,0.2590,39.8900,74,96,86739
1.1730,0.2444,40.0300,74,96,86743
1.2561,0.2493,39.8300,74,96,86746
1.3050,0.2542,40.0300,74,96,86750
1.3734,0.2444,40.0000,74,96,86753
1.4516,0.2542,39.8900,74,96,86756
1.4858,0.2444,40.0000,74,96,86759
