ecg,gsr,temp,hr,spo2,timest
1.7302,0.3959,36.3400,84,93,208115
1.6960,0.3959,36.3700,84,93,208119
1.6716,0.4057,36.4300,84,93,208122
1.6618,0.4008,36.3400,84,93,208125
1.7253,0.3861,36.2200,84,93,208129
1.7742,0.4008,36.3400,84,93,208133
1.7546,0.3861,36.3700,84,93,208136
1.7351,0.4497,36.1900,84,93,208139
1.6764,0.4008,36.2800,84,93,208143
1.6960,0.4154,36.1000,84,93,208146
1.7204,0.4008,36.2200,84,93,208149
1.7498,0.4008,36.5500,84,93,208153
1.7693,0.3861,36.2500,84,93,208156
1.6960,0.4008,36.3700,84,93,208159
1.6911,0.4154,36.0400,84,93,208163
1.6667,0.4008,36.3100,84,93,208166
1.7107,0.4008,36.2800,84,93,208169
1.7546,0.3959,36.3400,84,93,208174
1.7253,0.4301,36.4000,84,93,208177
1.7155,0.4252,36.0700,84,93,208180
1.6373,0.4154,36.2500,84,93,208183
1.6422,0.3861,36.2800,84,93,208187
1.6960,0.4008,36.3400,84,93,208190
1.7253,0.4057,36.3700,84,93,208193
1.7351,0.4203,36.2200,84,93,208197
1.6569,0.4057,36.3100,84,93,208200
1.6129,0.4399,36.1900,84,93,208203
1.6031,0.4008,36.3100,84,93,208207
1.6422,0.3910,36.3100,84,93,208210
1.7009,0.4106,36.5200,84,93,208214
1.6716,0.4057,36.3400,84,93,208218
1.6325,0.4057,36.3100,84,93,208221
1.5689,0.4008,36.2800,84,93,208224
1.5934,0.4008,36.4900,84,93,208228
1.6569,0.4057,36.1600,84,93,208231
1.6667,0.4008,36.3400,84,93,208234
1.6569,0.4057,36.1000,84,93,208237
1.5787,0.4008,36.2800,84,93,208241
1.5591,0.4057,36.3400,84,93,208244
1.6129,0.4057,36.2800,84,93,208247
1.6471,0.4008,36.3700,84,93,208251
1.7107,0.4106,36.0400,84,93,208254
1.6422,0.4008,36.3700,84,93,208258
1.5982,0.3910,36.3700,84,93,208262
1.5836,0.4057,36.4600,84,93,208265
1.6129,0.3959,36.3700,84,93,208268
1.7204,0.4252,36.0700,84,93,208272
1.7204,0.4057,36.2800,84,93,208275
1.6911,0.3959,36.2800,84,93,208278
1.6520,0.3959,36.3100,84,93,208282
1.6373,0.3861,36.3400,84,93,208285
1.7058,0.4106,36.1300,84,93,208288
1.7204,0.4106,36.1900,84,93,208291
1.7155,0.4057,36.2200,84,93,208295
1.6471,0.4008,36.3400,84,93,208299
1.5934,0.3959,36.3400,84,93,208302
1.5885,0.4106,36.1900,84,93,208306
1.6080,0.3959,36.3400,84,93,208309
1.6569,0.4106,36.2500,84,93,208312
1.6325,0.4057,36.3400,84,93,208316
1.5787,0.4008,36.1900,84,93,208319
1.5298,0.4057,36.2500,84,93,208322
1.5200,0.3959,36.3700,84,93,208326
1.5934,0.4057,36.1000,84,93,208329
1.6325,0.4008,36.3700,84,93,208332
1.6373,0.4008,36.3400,84,93,208336
1.6031,0.4057,36.2800,84,93,208339
1.5591,0.4008,36.3100,84,93,208343
1.6178,0.4203,36.1000,84,93,208346
1.6520,0.4057,36.2800,84,93,208350
1.6716,0.4008,36.4000,84,93,208353
1.6716,0.4057,36.2800,84,93,208356
1.6080,0.4008,36.3700,84,93,208360
1.6129,0.4154,36.0400,84,93,208363
1.5934,0.4008,36.1300,84,93,208366
1.6325,0.3959,36.2800,84,93,208370
1.6764,0.4057,36.3400,84,93,208373
1.6667,0.4008,36.3700,84,93,208376
1.6520,0.4106,36.1600,84,93,208380
1.5885,0.4057,36.3100,84,93,208384
1.6080,0.4008,36.1900,84,93,208387
1.6618,0.4106,36.3400,84,93,208390
1.7058,0.3959,36.4300,84,93,208394
1.7009,0.4154,36.3100,84,93,208397
1.6325,0.4008,36.3400,84,93,208400
1.6227,0.4057,36.1900,84,93,208404
1.6569,0.4008,36.5200,84,93,208407
1.7253,0.4154,36.3700,84,93,208410
1.7791,0.4057,36.2200,84,93,208414
1.7204,0.4008,36.3400,84,93,208417
1.6862,0.4057,36.1300,84,93,208420
1.6911,0.4008,36.2200,84,93,208424
1.7986,0.4008,36.5200,84,93,208428
1.9697,0.4106,36.2500,84,93,208431
2.0039,0.4008,36.3400,84,93,208435
1.9941,0.4154,36.0400,84,93,208438
1.8426,0.3959,36.2800,84,93,208441
1.6911,0.4008,36.3400,84,93,208445
1.5787,0.4057,36.3100,84,93,208448
1.4761,0.4008,36.3100,84,93,208451
1.4565,0.4203,36.0400,84,93,208454
1.4223,0.4057,36.1000,84,93,208458
1.4761,0.3959,36.3100,84,93,208461
1.5640,0.4008,36.3400,84,93,208464
1.7155,0.4008,36.3400,84,93,208468
1.8426,0.4154,36.2200,84,93,208472
1.8524,0.4057,36.3400,84,93,208475
1.8084,0.4008,36.2200,84,93,208479
1.7351,0.3959,36.3400,84,93,208482
1.7058,0.4008,36.3700,84,93,208485
1.7693,0.4106,36.1300,84,93,208489
1.7889,0.4008,36.3700,84,93,208492
1.8084,0.4106,36.1900,84,93,208495
1.7400,0.4008,36.3400,84,93,208499
1.6960,0.4008,36.5200,84,93,208502
1.7498,0.4106,36.2200,84,93,208505
1.7498,0.4008,36.3400,84,93,208508
1.8426,0.3959,36.1300,84,93,208513
1.8035,0.4008,36.2500,84,93,208516
