ecg,gsr,temp,hr,spo2,timest
1.8377,0.3959,39.1600,84,95,384987
1.7742,0.3861,39.2800,84,95,384990
1.7791,0.3910,39.1900,84,95,384993
1.7400,0.3861,39.3500,84,95,384997
1.7204,0.3861,39.2800,84,95,385000
1.7253,0.3910,39.2200,84,95,385003
1.6862,0.3861,39.3200,84,95,385007
1.7058,0.4106,39.1900,84,95,385010
1.6911,0.3861,39.2800,84,95,385013
1.6813,0.3812,39.2800,84,95,385016
1.7009,0.3910,39.1900,84,95,385020
1.6569,0.3861,38.4900,84,95,385024
1.6862,0.3959,39.0900,84,95,385027
1.6716,0.3861,39.3200,84,95,385031
1.7009,0.3861,39.3800,84,95,385034
1.7302,0.3910,39.2200,84,95,385037
1.7107,0.3861,39.3200,84,95,385041
1.7351,0.4008,39.0300,84,95,385044
1.7107,0.3959,39.2200,84,95,385047
1.6911,0.3861,38.6200,84,95,385051
1.7107,0.3910,39.2800,84,95,385054
1.7058,0.3861,39.2800,84,95,385057
1.7546,0.4057,39.1200,84,95,385060
1.7204,0.3959,39.1900,84,95,385064
1.7107,0.3861,39.2200,84,95,385068
1.7155,0.3910,39.2800,84,95,385071
1.7204,0.3861,39.4100,84,95,385075
1.7400,0.4203,39.1600,84,95,385078
1.6911,0.3910,39.2800,84,95,385081
1.6667,0.3910,39.2200,84,95,385085
1.6276,0.3861,39.3200,84,95,385088
1.6178,0.3861,39.4100,84,95,385091
1.6031,0.3959,39.2500,84,95,385095
1.5396,0.3861,39.2800,84,95,385098
1.5054,0.4008,39.1600,84,95,385101
1.4761,0.3910,39.3200,84,95,385104
1.5591,0.3861,39.3800,84,95,385108
1.7546,0.4008,39.1900,84,95,385112
1.9941,0.3861,39.5100,84,95,385115
2.2727,0.3812,39.0900,84,95,385119
2.4047,0.3910,39.1900,84,95,385122
2.4047,0.3861,39.2800,84,95,385125
2.3754,0.4008,39.1900,84,95,385129
2.2776,0.3910,39.3200,84,95,385132
2.2239,0.4008,39.1600,84,95,385135
2.0626,0.3763,39.2500,84,95,385139
1.9208,0.3910,39.2800,84,95,385142
1.8231,0.3910,39.3800,84,95,385145
1.7302,0.3861,39.2800,84,95,385148
1.7253,0.4008,39.0600,84,95,385153
1.6471,0.3910,39.2500,84,95,385156
1.6031,0.3861,39.2800,84,95,385159
1.5738,0.3910,39.2800,84,95,385163
1.5543,0.3861,39.2800,84,95,385166
1.5885,0.4057,39.1200,84,95,385169
1.5787,0.3861,39.3500,84,95,385173
1.5934,0.3861,39.2200,84,95,385176
1.5836,0.3861,39.4100,84,95,385179
1.5689,0.3910,39.3200,84,95,385183
1.5885,0.4008,39.1200,84,95,385186
1.5738,0.3959,39.4100,84,95,385189
1.6129,0.3910,39.1900,84,95,385192
1.6031,0.3861,39.3200,84,95,385197
1.6031,0.4008,39.3800,84,95,385200
1.6325,0.3959,39.1900,84,95,385203
1.5738,0.3861,39.2800,84,95,385207
1.5982,0.4008,39.1600,84,95,385210
1.5982,0.3910,39.2800,84,95,385213
1.6276,0.3861,39.4100,84,95,385217
1.6813,0.3910,39.2200,84,95,385220
1.6325,0.3910,39.3200,84,95,385223
1.6569,0.3959,39.0900,84,95,385227
1.6373,0.3910,39.2800,84,95,385230
1.6520,0.3861,39.3800,84,95,385233
1.6716,0.4008,39.2500,84,95,385236
1.6520,0.3861,39.3200,84,95,385241
1.6911,0.4008,39.0600,84,95,385244
1.6716,0.3910,39.2200,84,95,385247
1.6764,0.3861,39.3800,84,95,385251
1.7009,0.3910,39.2500,84,95,385254
1.6960,0.3861,39.3200,84,95,385257
1.7351,0.4154,39.0300,84,95,385261
1.6862,0.4008,39.2200,84,95,385264
