ecg,gsr,temp,hr,spo2,timest
1.7155,0.1075,39.0900,73,98,318566
1.7449,0.1075,39.0000,73,98,318570
1.7351,0.0929,39.0600,73,98,318573
1.7595,0.1124,38.9600,73,98,318576
1.7595,0.1124,39.1200,73,98,318580
1.7498,0.1075,39.1200,73,98,318583
1.7840,0.1173,39.0000,73,98,318586
1.7595,0.1075,39.0900,73,98,318590
1.7889,0.1124,38.9600,73,98,318594
1.7693,0.1075,39.0300,73,98,318597
1.7742,0.1075,39.0900,73,98,318601
1.7937,0.1173,39.0000,73,98,318604
1.7791,0.1173,39.0900,73,98,318607
1.8133,0.1124,38.9000,73,98,318610
1.8035,0.1075,39.0000,73,98,318614
1.8280,0.0929,39.0900,73,98,318617
1.8231,0.1124,39.0000,73,98,318620
1.8035,0.1075,38.9600,73,98,318624
1.8475,0.1222,38.8700,73,98,318627
1.8084,0.1075,38.9000,73,98,318630
1.8231,0.1075,39.1200,73,98,318635
1.8426,0.1124,39.0600,73,98,318638
1.8426,0.1173,39.1200,73,98,318641
1.8915,0.1124,38.8400,73,98,318644
1.8622,0.1124,39.0300,73,98,318648
1.8866,0.1075,39.0900,73,98,318651
1.8622,0.1124,39.2200,73,98,318654
1.8622,0.1124,39.0900,73,98,318658
1.9159,0.1222,38.9300,73,98,318661
1.8866,0.1026,39.0600,73,98,318664
1.8964,0.1075,39.0300,73,98,318668
1.8915,0.1124,39.0300,73,98,318671
1.9013,0.1075,39.0900,73,98,318674
1.9404,0.1173,38.9600,73,98,318679
1.9306,0.1271,39.0600,73,98,318682
1.9599,0.1173,38.9300,73,98,318685
1.9306,0.1124,38.8100,73,98,318688
1.9501,0.1124,39.0900,73,98,318692
1.9648,0.1124,39.2800,73,98,318695
1.9599,0.1124,39.0900,73,98,318698
1.9941,0.1124,38.9600,73,98,318702
1.9746,0.1026,39.0900,73,98,318705
1.9795,0.1075,39.0900,73,98,318708
2.0137,0.1173,39.0600,73,98,318712
2.0186,0.1173,39.1900,73,98,318715
2.0577,0.1124,38.8700,73,98,318718
2.0430,0.1124,39.0000,73,98,318723
2.0283,0.1369,39.0900,73,98,318726
2.0381,0.1173,39.0600,73,98,318729
2.0283,0.1075,39.0900,73,98,318732
2.0870,0.1173,38.7700,73,98,318736
2.0723,0.1173,39.0600,73,98,318739
2.0479,0.1075,39.1600,73,98,318742
2.0577,0.1124,39.0900,73,98,318746
2.0381,0.1320,39.0900,73,98,318749
2.0870,0.1222,38.8100,73,98,318752
2.0381,0.1124,38.9300,73,98,318755
2.0137,0.1026,39.2500,73,98,318759
1.9990,0.1075,39.1200,73,98,318763
1.9697,0.1075,39.0000,73,98,318766
1.9990,0.1466,38.9300,73,98,318770
1.9501,0.1173,39.0600,73,98,318773
1.9110,0.1075,39.0000,73,98,318776
1.9062,0.1124,39.0600,73,98,318780
1.8573,0.0929,39.0900,73,98,318783
1.8573,0.1222,38.9300,73,98,318786
1.8231,0.1124,39.0900,73,98,318790
1.7986,0.1124,38.9600,73,98,318793
1.7595,0.1320,39.0900,73,98,318796
1.7449,0.1075,39.0900,73,98,318799
1.7546,0.1173,39.0000,73,98,318803
1.7155,0.1124,39.0600,73,98,318807
1.7302,0.1124,38.9600,73,98,318810
1.7009,0.1075,38.9000,73,98,318814
1.6960,0.1075,39.0600,73,98,318818
1.7107,0.1075,39.0900,73,98,318822
1.7253,0.1173,39.0300,73,98,318825
1.7107,0.1026,39.0900,73,98,318828
1.7595,0.1173,38.8100,73,98,318831
1.7302,0.1124,38.9600,73,98,318835
1.7204,0.1075,39.0900,73,98,318838
1.7253,0.1124,39.0600,73,98,318841
1.7253,0.1026,39.0900,73,98,318845
1.7840,0.1222,38.9300,73,98,318849
1.7400,0.1222,38.9300,73,98,318852
1.7400,0.1026,39.0300,73,98,318856
1.7351,0.1124,39.0600,73,98,318859
1.7449,0.1564,39.0900,73,98,318862
1.7889,0.1124,38.9600,73,98,318866
1.7742,0.1124,39.0300,73,98,318869
1.7791,0.1026,38.9600,73,98,318872
1.7644,0.1124,39.0900,73,98,318875
1.7644,0.1075,39.0900,73,98,318879
1.7937,0.1124,39.0600,73,98,318882
1.7840,0.1124,39.1200,73,98,318885
1.8084,0.1271,39.0000,73,98,318889
1.7791,0.1075,39.0900,73,98,318893
1.7742,0.1075,39.1200,73,98,318896
1.7986,0.1173,38.9600,73,98,318900
1.7693,0.1124,39.1200,73,98,318903
1.7889,0.1124,38.9000,73,98,318906
1.7840,0.1075,39.0300,73,98,318910
1.7791,0.1075,39.1200,73,98,318913
1.7937,0.1124,39.0300,73,98,318916
1.7840,0.1124,39.0900,73,98,318919
1.8280,0.1075,38.8400,73,98,318923
1.8035,0.1124,39.0600,73,98,318926
1.7986,0.1075,39.0900,73,98,318929
1.8133,0.1222,39.0300,73,98,318934
1.7937,0.1075,39.0900,73,98,318937
1.8377,0.1173,38.8100,73,98,318940
1.8084,0.1075,39.0300,73,98,318944
1.7937,0.1026,39.0900,73,98,318947
1.7986,0.1124,39.0900,73,98,318950
1.7986,0.1124,39.0900,73,98,318953
1.8475,0.1271,38.9000,73,98,318957
1.8133,0.1173,39.0000,73,98,318960
1.8035,0.1075,39.0300,73,98,318963
1.8035,0.1124,39.0600,73,98,318967
1.7986,0.1124,39.1200,73,98,318970
1.8328,0.1222,38.9300,73,98,318973
1.8328,0.1173,39.0600,73,98,318978
1.8182,0.1124,39.0000,73,98,318981
1.8035,0.1124,39.1600,73,98,318984
1.8035,0.1173,39.1200,73,98,318988
1.8231,0.1222,39.0000,73,98,318991
1.7986,0.1124,39.0300,73,98,318994
1.8182,0.1222,39.0000,73,98,318997
1.7937,0.1075,39.0600,73,98,319001
1.7986,0.1075,39.0300,73,98,319004
1.8475,0.0929,38.9600,73,98,319007
1.8084,0.1124,39.0900,73,98,319011
1.8280,0.1124,38.8700,73,98,319014
1.8084,0.1075,39.1200,73,98,319017
1.8084,0.1075,39.0300,73,98,319022
1.8328,0.1173,39.0000,73,98,319025
1.8133,0.1075,39.1600,73,98,319028
1.8475,0.1173,38.8700,73,98,319032
1.8182,0.1124,39.0000,73,98,319035
1.7986,0.1075,38.9000,73,98,319038
1.8084,0.1173,39.0600,73,98,319041
1.7986,0.1075,39.0900,73,98,319045
1.8475,0.1222,38.0500,73,98,319048
1.8377,0.1026,39.0000,73,98,319051
1.7986,0.1026,39.0600,73,98,319055
1.8084,0.1124,39.0600,73,98,319058
1.8035,0.1075,39.0900,73,98,319062
1.8622,0.1320,38.8700,73,98,319065
1.8280,0.1173,39.0000,73,98,319069
1.8084,0.1075,39.0900,73,98,319072
1.8035,0.1124,39.0600,73,98,319075
1.7986,0.1075,39.0900,73,98,319079
1.8377,0.1222,39.0300,73,98,319082
1.8084,0.1124,39.0600,73,98,319085
1.8280,0.1124,38.9600,73,98,319089
1.8035,0.1124,39.1200,73,98,319092
1.7937,0.1075,39.0900,73,98,319095
1.8377,0.1124,38.9000,73,98,319098
1.8133,0.1124,39.0900,73,98,319102
1.8426,0.1124,38.9600,73,98,319106
1.8377,0.1124,39.1600,73,98,319109
1.8524,0.1075,39.0900,73,98,319113
1.8817,0.1173,39.0000,73,98,319116
1.8719,0.1271,39.0900,73,98,319119
1.8964,0.1075,38.9300,73,98,319123
1.8866,0.1075,39.1200,73,98,319126
1.8964,0.1026,39.1200,73,98,319129
1.9159,0.1124,38.9600,73,98,319133
1.8964,0.1124,39.0900,73,98,319136
1.9453,0.1173,38.9300,73,98,319139
1.9159,0.1026,39.0600,73,98,319143
1.9355,0.1075,39.0900,73,98,319147
1.9550,0.1124,38.9600,73,98,319150
1.9501,0.1075,39.0900,73,98,319153
1.9892,0.1222,38.8100,73,98,319157
1.9404,0.1320,39.0600,73,98,319160
1.9062,0.1075,39.0900,73,98,319163
1.8915,0.1124,39.0600,73,98,319167
1.8671,0.1075,39.1200,73,98,319170
1.9062,0.1271,38.9000,73,98,319173
1.8328,0.1173,39.0900,73,98,319177
1.8133,0.1075,38.9600,73,98,319180
1.7986,0.1124,39.0900,73,98,319183
1.7840,0.1075,39.2800,73,98,319186
1.8035,0.1222,38.9600,73,98,319191
1.7693,0.1124,39.0900,73,98,319194
1.7644,0.1124,38.9600,73,98,319197
1.7449,0.1124,39.0900,73,98,319201
1.7351,0.1466,39.0900,73,98,319204
1.7546,0.1173,39.0300,73,98,319207
1.7253,0.1124,39.2200,73,98,319211
1.7498,0.1271,38.9600,73,98,319214
1.7155,0.1173,39.1200,73,98,319217
1.7204,0.1075,39.0900,73,98,319221
1.7449,0.1173,39.0600,73,98,319224
1.7253,0.1075,39.1200,73,98,319227
1.7546,0.1124,38.9000,73,98,319230
1.7400,0.1124,38.9600,73,98,319235
1.7302,0.1026,39.0900,73,98,319238
1.7449,0.1173,39.0600,73,98,319241
1.7253,0.1075,39.0900,73,98,319245
1.7986,0.1271,38.8400,73,98,319248
1.7644,0.1124,39.1200,73,98,319251
1.7986,0.1026,39.1200,73,98,319255
1.8866,0.1124,39.0600,73,98,319258
1.9795,0.1075,39.1200,73,98,319261
2.1652,0.1173,38.8400,73,98,319265
2.2825,0.1173,38.9600,73,98,319268
2.4536,0.1026,39.0600,73,98,319271
2.6246,0.1124,39.0900,73,98,319275
2.6588,0.1124,39.1200,73,98,319279
2.6149,0.1222,38.9600,73,98,319282
2.3803,0.1124,39.0600,73,98,319285
2.1848,0.0929,39.0000,73,98,319289
1.9746,0.1124,39.1600,73,98,319292
1.8328,0.1026,39.0900,73,98,319295
1.7791,0.1222,38.9300,73,98,319299
1.7107,0.1075,39.0600,73,98,319302
1.7107,0.1173,38.9300,73,98,319305
1.6764,0.1124,38.3300,73,98,319309
1.6667,0.1320,39.1200,73,98,319312
1.6764,0.1173,39.0000,73,98,319315
1.6569,0.1124,39.0300,73,98,319319
1.6764,0.1173,38.9300,73,98,319323
1.6520,0.1075,39.0600,73,98,319326
1.6471,0.1075,39.0600,73,98,319329
1.6911,0.1222,38.9600,73,98,319333
1.6471,0.1124,39.1600,73,98,319336
1.6813,0.1222,38.9000,73,98,319339
1.6618,0.1075,39.1200,73,98,319343
1.6667,0.1026,39.0900,73,98,319346
1.6862,0.1124,39.0900,73,98,319349
1.6764,0.1075,39.0600,73,98,319353
1.7155,0.1173,38.8400,73,98,319356
1.6960,0.1124,39.0600,73,98,319360
1.6862,0.1075,39.1200,73,98,319363
1.7009,0.1124,39.0900,73,98,319367
1.7058,0.1075,39.1900,73,98,319370
1.7546,0.1271,38.8700,73,98,319373
1.7155,0.1124,39.0300,73,98,319377
1.7155,0.1075,39.0300,73,98,319380
1.7302,0.1124,39.0600,73,98,319383
1.7400,0.1075,39.1900,73,98,319387
1.7840,0.1222,38.9300,73,98,319390
1.7644,0.1124,39.0600,73,98,319393
1.7595,0.1124,39.0300,73,98,319396
1.7449,0.1173,39.0900,73,98,319400
1.7546,0.1075,39.0000,73,98,319404
1.7791,0.1173,39.0300,73,98,319407
1.7889,0.1075,39.0900,73,98,319411
1.7840,0.1124,38.9300,73,98,319414
1.7595,0.1124,39.0600,73,98,319417
1.7693,0.0929,39.0900,73,98,319421
1.8084,0.1222,39.0000,73,98,319424
1.8035,0.1124,39.1200,73,98,319429
1.7986,0.1124,39.0600,73,98,319432
1.8475,0.1173,38.9300,73,98,319435
1.8182,0.1173,39.0600,73,98,319439
1.8328,0.1026,39.0900,73,98,319442
1.8328,0.1124,39.0600,73,98,319446
1.8280,0.1075,39.1600,73,98,319449
1.9110,0.1271,38.8400,73,98,319453
1.8622,0.1124,38.9000,73,98,319456
1.8524,0.1466,39.0600,73,98,319459
1.8622,0.1124,39.0900,73,98,319463
1.8671,0.1124,39.1200,73,98,319466
1.9257,0.1222,38.9300,73,98,319469
1.8964,0.1124,39.0600,73,98,319473
1.9208,0.1026,38.9600,73,98,319476
1.9110,0.1124,39.1600,73,98,319479
1.9110,0.1124,39.0900,73,98,319483
1.9501,0.1222,38.9300,73,98,319486
1.9208,0.1124,39.0600,73,98,319490
1.9599,0.1124,38.9600,73,98,319493
1.9404,0.1124,39.0600,73,98,319497
1.9501,0.1026,39.1600,73,98,319500
1.9746,0.1271,39.0000,73,98,319503
1.9648,0.1026,39.0900,73,98,319507
1.9892,0.1124,38.9300,73,98,319510
1.9648,0.1075,39.0300,73,98,319513
1.9746,0.1075,39.0900,73,98,319517
1.9795,0.1173,38.9300,73,98,319520
1.9550,0.1124,39.1200,73,98,319523
1.9844,0.1173,38.8700,73,98,319527
1.9404,0.1075,39.0600,73,98,319531
1.9648,0.1026,39.0900,73,98,319534
1.9306,0.1173,39.0600,73,98,319537
1.8866,0.1075,39.0900,73,98,319541
1.9062,0.1222,38.8100,73,98,319544
1.8573,0.1124,39.0300,73,98,319547
1.8182,0.1026,39.0900,73,98,319551
1.7986,0.1124,39.0900,73,98,319554
1.7693,0.1271,39.1200,73,98,319557
1.7889,0.1320,38.9000,73,98,319561
1.7155,0.1417,39.0300,73,98,319564
1.6862,0.0929,39.0300,73,98,319567
1.6667,0.1124,39.0900,73,98,319571
1.6471,0.1124,39.1200,73,98,319575
1.6667,0.1222,38.9300,73,98,319578
1.6325,0.1173,39.0300,73,98,319581
1.6276,0.1124,38.9600,73,98,319585
1.6080,0.1124,39.0900,73,98,319588
1.6031,0.1075,39.1200,73,98,319591
1.6178,0.1173,39.0900,73,98,319595
1.6080,0.1124,39.0900,73,98,319598
1.6227,0.1173,39.0000,73,98,319601
1.5934,0.1075,39.1200,73,98,319605
1.5982,0.1026,39.1200,73,98,319608
1.6227,0.1173,38.9600,73,98,319611
1.6031,0.0929,39.1200,73,98,319616
1.6276,0.1124,38.9000,73,98,319619
1.6129,0.1173,39.0600,73,98,319622
1.6080,0.1075,39.0900,73,98,319625
1.6178,0.1173,39.0600,73,98,319629
1.6129,0.1026,39.0900,73,98,319632
1.6569,0.1124,38.8400,73,98,319635
1.6325,0.1075,39.0600,73,98,319639
1.6276,0.0929,39.0900,73,98,319642
1.6471,0.1124,39.0300,73,98,319645
1.6373,0.1369,39.0900,73,98,319649
1.6911,0.1222,38.8100,73,98,319652
1.6618,0.1369,38.9000,73,98,319655
1.6520,0.1026,39.0600,73,98,319660
1.6569,0.1124,39.1200,73,98,319663
1.6520,0.0929,39.0900,73,98,319666
1.7058,0.1271,38.9600,73,98,319669
1.6764,0.1124,39.0300,73,98,319673
1.6764,0.1026,39.0000,73,98,319676
1.6667,0.1124,39.0900,73,98,319679
1.6667,0.1466,39.1200,73,98,319683
1.6862,0.1124,38.9300,73,98,319686
1.6667,0.1173,39.0600,73,98,319689
1.6813,0.1173,38.9300,73,98,319693
1.6667,0.1124,39.0900,73,98,319696
1.6667,0.0978,39.0900,73,98,319699
1.6862,0.1173,39.0000,73,98,319704
1.6716,0.1124,39.0000,73,98,319707
1.6960,0.1466,38.9600,73,98,319710
1.6716,0.1075,39.0900,73,98,319713
1.6764,0.1075,38.3300,73,98,319717
1.6862,0.1173,38.9600,73,98,319720
1.6667,0.1075,39.0600,73,98,319723
1.6862,0.1124,38.9000,73,98,319727
1.6667,0.1075,39.1600,73,98,319730
1.6716,0.1075,39.1600,73,98,319733
1.6862,0.1124,39.0300,73,98,319737
1.6667,0.1075,39.0300,73,98,319740
1.7058,0.1222,38.8400,73,98,319744
1.6764,0.1124,39.0300,73,98,319748
1.6618,0.1075,39.0600,73,98,319751
1.6667,0.1124,39.0600,73,98,319754
1.6569,0.1124,39.1200,73,98,319757
1.7009,0.1124,38.9300,73,98,319761
1.6569,0.1515,39.0300,73,98,319764
1.6569,0.1026,39.0300,73,98,319767
1.6569,0.1124,39.0900,73,98,319771
1.6569,0.1124,39.0900,73,98,319774
1.6960,0.1271,38.9300,73,98,319777
1.6667,0.1124,39.0600,73,98,319781
1.6618,0.1222,38.9600,73,98,319784
1.6471,0.1124,39.0900,73,98,319788
1.6520,0.1075,39.0300,73,98,319791
1.6813,0.1222,39.0300,73,98,319795
1.6618,0.1124,39.0900,73,98,319798
1.6764,0.1124,38.9600,73,98,319801
1.6520,0.1075,38.5500,73,98,319805
1.6569,0.1466,39.1200,73,98,319808
1.6911,0.1173,39.0000,73,98,319811
1.6667,0.1124,39.1200,73,98,319815
1.6911,0.1124,38.9300,73,98,319818
1.6667,0.1075,38.9600,73,98,319821
1.6569,0.1026,39.0600,73,98,319825
1.6716,0.1124,38.5800,73,98,319828
1.6569,0.1026,39.0900,73,98,319832
1.6960,0.1124,38.9300,73,98,319836
1.6618,0.1124,39.0300,73,98,319839
1.6520,0.1075,39.1200,73,98,319842
1.6716,0.1173,39.1200,73,98,319845
1.6569,0.1075,39.0900,73,98,319849
1.7058,0.1173,38.7700,73,98,319852
1.6716,0.1075,38.9600,73,98,319855
1.6618,0.1026,39.0900,73,98,319859
1.6667,0.1124,39.1200,73,98,319862
1.6618,0.1124,39.0900,73,98,319865
1.7155,0.1271,38.9000,73,98,319869
1.6862,0.1124,39.0300,73,98,319873
1.6862,0.1124,39.0300,73,98,319876
1.6764,0.1124,39.1200,73,98,319880
1.6960,0.0929,39.1200,73,98,319883
1.7107,0.1222,39.0000,73,98,319886
1.6960,0.1026,39.0900,73,98,319889
1.7351,0.1124,38.9600,73,98,319893
1.7204,0.1124,39.0900,73,98,319896
1.7302,0.1026,39.0900,73,98,319899
1.7595,0.1222,39.0600,73,98,319903
1.7449,0.1124,39.0600,73,98,319906
1.7742,0.1173,39.0000,73,98,319909
1.7498,0.1075,39.0900,73,98,319913
1.7498,0.1075,39.0900,73,98,319917
1.7644,0.1026,38.8400,73,98,319920
1.7595,0.1075,39.1200,73,98,319923
1.7937,0.1124,38.9000,73,98,319927
1.7791,0.1075,39.0900,73,98,319930
1.7937,0.1075,39.1600,73,98,319933
1.8133,0.1173,39.0300,73,98,319937
1.7840,0.1075,39.0900,73,98,319940
1.8133,0.1173,38.8400,73,98,319943
1.7693,0.1124,38.9300,73,98,319947
1.7400,0.1369,39.1900,73,98,319950
1.7302,0.1124,39.0600,73,98,319953
1.7058,0.1026,39.0900,73,98,319958
1.7498,0.1222,38.8400,73,98,319961
1.6911,0.1124,39.0300,73,98,319964
