ecg,gsr,temp,hr,spo2,timest
1.7498,0.2835,38.9300,88,98,3
1.7546,0.2933,38.7700,88,98,6
1.7302,0.2884,39.0600,88,98,8
1.7302,0.2884,38.8100,88,98,11
1.7155,0.2884,38.8700,88,98,14
1.7009,0.3030,38.9600,88,98,17
1.7302,0.2933,38.7100,88,98,20
1.7058,0.2835,38.9000,88,98,23
1.7155,0.2835,38.9000,88,98,26
1.7546,0.3324,38.7400,88,98,29
1.7253,0.2884,38.9000,88,98,32
1.7204,0.2688,38.9000,88,98,35
1.7449,0.2933,38.8100,88,98,38
1.7302,0.2884,38.8400,88,98,41
1.7595,0.2884,38.8100,88,98,45
1.7449,0.2981,38.9000,88,98,48
1.7400,0.2835,38.9600,88,98,51
1.7840,0.2884,38.6800,88,98,54
1.7351,0.2835,38.8700,88,98,57
1.7644,0.2688,38.9000,88,98,60
1.8817,0.3275,38.7400,88,98,63
1.9892,0.2981,38.7700,88,98,66
2.1114,0.2688,38.9300,88,98,69
2.2434,0.3226,38.8700,88,98,72
2.2874,0.2884,39.0600,88,98,75
2.3558,0.2981,38.7700,88,98,78
2.2923,0.2884,38.9300,88,98,81
2.2141,0.2688,38.9000,88,98,84
2.1359,0.3030,38.6500,88,98,88
1.9208,0.2835,38.9600,88,98,91
1.7742,0.2933,38.9300,88,98,94
1.5836,0.3275,38.7100,88,98,97
1.3881,0.2933,38.8700,88,98,100
1.2170,0.2786,38.8700,88,98,103
1.0948,0.2884,38.8700,88,98,106
1.0264,0.2835,38.9300,88,98,109
1.0264,0.2884,38.7700,88,98,112
1.0557,0.2933,38.9000,88,98,115
1.1632,0.2786,38.9000,88,98,118
1.3392,0.2981,38.7100,88,98,121
1.4663,0.2981,38.8400,88,98,124
1.5738,0.2737,38.9000,88,98,128
1.6813,0.2933,38.8100,88,98,131
1.7302,0.2835,39.0000,88,98,134
1.8133,0.2884,38.9600,88,98,137
1.8182,0.2884,38.9000,88,98,140
1.8328,0.2835,38.9300,88,98,143
1.9013,0.3030,38.7100,88,98,146
1.9062,0.2884,38.7700,88,98,149
1.8964,0.2835,38.9300,88,98,152
1.9355,0.2884,38.8400,88,98,155
1.9208,0.2835,38.8400,88,98,158
1.9306,0.2933,38.8100,88,98,161
1.8817,0.2884,38.9000,88,98,164
1.8622,0.2835,38.9600,88,98,167
1.9013,0.3275,38.6500,88,98,171
1.8573,0.2884,38.8100,88,98,174
1.8524,0.2835,38.9600,88,98,177
