ecg,gsr,temp,hr,spo2,timest
1.6471,0.2590,37.1600,75,96,192928
1.6764,0.2542,37.2000,75,96,192932
1.6813,0.2493,37.1600,75,96,192935
1.7302,0.2590,36.9600,75,96,192939
1.7302,0.2493,37.1600,75,96,192943
1.7302,0.2493,37.1600,75,96,192946
1.7449,0.2297,37.1600,75,96,192949
1.7155,0.2493,37.3000,75,96,192952
1.7546,0.2542,36.9300,75,96,192956
1.7204,0.2493,37.0600,75,96,192959
1.7302,0.2493,37.2000,75,96,192962
1.7449,0.2542,37.1600,75,96,192966
1.7449,0.2444,37.2300,75,96,192969
1.7986,0.2688,36.9600,75,96,192972
1.7595,0.2542,37.1000,75,96,192976
1.7498,0.2395,37.1300,75,96,192979
1.7546,0.2542,37.2000,75,96,192983
1.7644,0.2444,37.1300,75,96,192987
1.8182,0.2590,37.0000,75,96,192990
1.7986,0.2542,37.1300,75,96,192993
1.8280,0.2542,37.1000,75,96,192997
1.8133,0.2493,37.2600,75,96,193000
1.8280,0.2590,37.1600,75,96,193003
1.8719,0.2297,37.0600,75,96,193006
1.8622,0.2493,37.1600,75,96,193010
1.9013,0.2590,37.1000,75,96,193013
1.8915,0.2493,37.2000,75,96,193016
1.8964,0.2493,37.2000,75,96,193020
1.9062,0.2542,37.2300,75,96,193024
1.8915,0.2297,37.2300,75,96,193027
1.9110,0.2493,37.0000,75,96,193031
1.8817,0.2493,37.2000,75,96,193034
1.8817,0.2493,37.2300,75,96,193037
1.9062,0.2639,37.1000,75,96,193040
1.9062,0.2493,37.2000,75,96,193044
1.9501,0.2542,36.9600,75,96,193047
1.9306,0.2590,37.0600,75,96,193050
1.9208,0.2493,37.2000,75,96,193054
1.9355,0.2542,37.1600,75,96,193057
1.9306,0.2493,37.3300,75,96,193060
1.9941,0.2688,36.9300,75,96,193064
1.9697,0.2493,37.1600,75,96,193068
1.9746,0.2737,37.2300,75,96,193071
1.9941,0.2542,37.1300,75,96,193075
1.9941,0.2590,37.1600,75,96,193078
2.0626,0.2688,36.9600,75,96,193081
2.0235,0.2590,37.4000,75,96,193084
2.0186,0.2493,37.0600,75,96,193088
2.0235,0.2542,37.1600,75,96,193091
2.0332,0.2493,37.2000,75,96,193094
2.0723,0.2639,36.9600,75,96,193098
2.0430,0.2884,37.2000,75,96,193101
2.0430,0.2493,37.0600,75,96,193104
2.0137,0.2493,37.2000,75,96,193108
1.9941,0.2493,37.1600,75,96,193112
2.0137,0.2590,37.0300,75,96,193115
1.9697,0.2542,37.2000,75,96,193118
1.9941,0.2542,37.0300,75,96,193122
1.9599,0.2884,37.2000,75,96,193125
1.9453,0.2493,37.1600,75,96,193128
1.9355,0.2688,37.0600,75,96,193132
1.8817,0.2542,37.1600,75,96,193135
1.8915,0.2493,37.0600,75,96,193138
1.8524,0.2493,37.1000,75,96,193142
1.8524,0.2493,37.1600,75,96,193145
1.8573,0.2542,37.0600,75,96,193148
1.8182,0.2542,37.2300,75,96,193153
1.8328,0.2542,36.9600,75,96,193156
1.7546,0.2444,37.2300,75,96,193159
1.7302,0.2493,37.2000,75,96,193162
1.7302,0.2590,37.2600,75,96,193166
1.7009,0.2444,37.2300,75,96,193169
1.7498,0.2590,36.9600,75,96,193172
1.7302,0.2542,37.0600,75,96,193176
1.7302,0.2444,37.1600,75,96,193179
1.7498,0.2493,37.2600,75,96,193182
1.7498,0.2590,37.2300,75,96,193186
1.7986,0.2688,37.0000,75,96,193189
1.7351,0.2542,37.1600,75,96,193192
1.7204,0.2493,37.1300,75,96,193197
1.6911,0.2493,37.1600,75,96,193200
1.6764,0.2590,37.2000,75,96,193203
1.7107,0.2590,37.0300,75,96,193206
1.6764,0.2542,36.3500,75,96,193210
1.6960,0.2542,37.1000,75,96,193213
1.6911,0.2297,37.1600,75,96,193216
1.7058,0.2542,37.2300,75,96,193220
1.7351,0.2297,37.1300,75,96,193223
1.7302,0.2493,37.1600,75,96,193226
1.7889,0.2542,37.1000,75,96,193230
1.7204,0.2493,37.2000,75,96,193233
1.7253,0.2639,37.2300,75,96,193236
1.7693,0.2590,37.0600,75,96,193241
1.7595,0.2444,37.2000,75,96,193244
1.8084,0.2542,37.0000,75,96,193247
1.7644,0.2493,37.0600,75,96,193250
1.7546,0.2493,37.2300,75,96,193254
1.7644,0.2493,37.1000,75,96,193257
1.7498,0.2493,37.1600,75,96,193260
1.8035,0.2639,37.0000,75,96,193264
1.7742,0.2493,37.1300,75,96,193267
1.7742,0.2493,37.2000,75,96,193270
1.7889,0.2542,37.1300,75,96,193274
1.7840,0.2493,37.2300,75,96,193277
1.8426,0.3177,36.8900,75,96,193281
1.8133,0.2590,36.5400,75,96,193285
1.8035,0.2444,37.2000,75,96,193288
1.7937,0.2542,37.1600,75,96,193291
1.7840,0.2493,37.1300,75,96,193294
1.8035,0.2639,37.0600,75,96,193298
1.7693,0.2542,37.1300,75,96,193301
1.7693,0.2493,37.0600,75,96,193304
1.7546,0.2493,37.1600,75,96,193308
1.7546,0.2493,37.2300,75,96,193311
1.8280,0.2590,37.0000,75,96,193314
1.7840,0.2493,37.1600,75,96,193318
1.8280,0.2590,37.1300,75,96,193321
1.8133,0.2444,37.1600,75,96,193325
1.8280,0.2493,37.2000,75,96,193329
1.8426,0.2493,37.2300,75,96,193332
1.8035,0.2493,37.1600,75,96,193335
1.8231,0.2542,36.1900,75,96,193338
